pdbCompoundId,pdbStructureId
5GP,1t9s
5GP,6gaw
5GP,3luh
5GP,6ydp
5GP,1hmp
5GP,2ble
5GP,7nsi
5GP,7nql
5H7,5dwr
5HU,4e9h
5HV,5i9i
5I5,2i6a
5ID,2c47
5ID,3uwp
5ID,4ouc
5ID,6jwa
5ID,2vuw
5ID,2zoq
5ID,5ax3
5ID,6g33
5IG,2g1y
5IU,1a6y
5IU,1a31
5IU,5l2x
5IU,3bsu
5IU,2nll
5IU,6k3j
5IU,1srs
5IU,2qch
5MC,6rw4
5MC,6rw5
5MC,6ybs
5MC,6xa1
5MC,6i9r
5MC,6lss
5MC,6om0
5MC,6a6j
5MC,6ole
5MC,6qzp
5MC,6lu8
5MC,6lqm
5MC,6oli
5MC,6zmw
5MC,4cxg
5MC,6mtd
5MC,6lsr
5MC,6ybw
5MS,3exo
5MU,6rw4
5MU,6rw5
5MU,6i9r
5MU,6lss
5MU,6om0
5MU,1u6b
5MU,6ole
5MU,6qzp
5MU,3j92
5MU,6lqm
5MU,6lu8
5MU,6oli
5MU,6zmw
5MU,4cxg
5MU,6mtd
5MU,6lsr
5MU,6ybw
5MV,5ee7
5NI,1m9q
5NS,3cft
5P8,4uxl
5P8,4cli
5PV,4lkm
5RM,1xm6
5SC,2r3q
5SD,4xo6
5SD,1qyw
5SF,5ew8
5SM,5ewm
5T1,5eyd
5UD,4a7s
605,3d4l
608,2p2i
627,5i9z
627,4qo9
627,2v7a
628,1ykr
62G,5hls
62P,1z89
63J,5hl1
64U,3dux
64Z,6dew
657,5v02
667,1ttm
66F,7d5b
66F,5hu1
66T,4rwj
677,3hab
679,1q4l
685,3emg
687,1o45
68H,7dhi
68P,5i71
692,3fud
694,2h4g
696,1o2g
697,1x76
69Q,5i96
6C3,2i0v
6CP,1h1r
6D8,5irv
6DE,1y2h
6E2,5g2n
6FS,5j18
6GY,6mx8
6GY,7aem
6IN,1db5
6IP,2ohp
6J3,5l4i
6JE,5wmd
6K4,5jfx
6LD,5jmy
6LF,5jkg
6LH,5jnc
6LX,4as7
6NH,6x5j
6NH,2flb
6NI,1m9m
6Q5,5k3m
6QB,5k4i
6QB,5k4j
6RL,5kby
6S1,5kcv
6SC,2r3r
6T0,5lbt
6T2,6joi
6T2,5lby
6T2,6bqp
6T3,5lbz
6V8,5lf7
6WT,5kra
6ZV,7o7j
6ZV,5l2s
6ZV,7o7k
6ZZ,5l2t
700,1exv
701,2uwo
701,2jh0
706,3efl
710,2hog
715,1x70
735,2p54
738,2o2u
73Q,2g01
73T,5t18
740,2r64
761,1c84
772,1o4h
778,1s63
787,1o4r
789,1zaf
78P,2rd6
78P,5lx6
78P,3kjd
790,1o4f
791,1o4p
792,3g42
793,3fpm
794,1no6
796,2gu8
797,1u3s
798,3fun
799,5t8f
79K,5lwe
7AC,3ccc
7BD,3gs4
7D6,5irq
7DG,3iny
7DY,5u09
7GI,7vkn
7HC,5trf
7I0,7rs4
7IG,2g24
7IP,2ohq
7KC,4o0r
7KC,5mag
7KC,2x4z
7KC,4ks7
7KD,5mah
7KG,5tr6
7LD,5tvn
7LD,6wgt
7NB,5mhp
7NI,1m9k
7PY,2etm
7R3,7vsi
7RG,4e90
7RU,7vod
7T1,5u46
7VA,5u5l
7X1,2vwu
7X2,2vww
7X3,2vwv
7X4,2vwx
7X5,2vwy
7X6,2vwz
7X7,2vx0
7X8,2vx1
7Z9,5x67
803,1cqp
80G,3fu6
812,3fui
815,1f0r
821,1o43
822,1o47
824,1x8b
824,4c58
824,2x7f
82A,2ojj
839,2in6
843,1o42
853,1o48
855,3hmm
859,2no3
85G,5u66
870,2fix
872,2iit
876,1o4b
877,2gmx
878,1ecv
880,4z9l
887,3b8r
889,2wpa
88Z,6i2y
88Z,5ia4
88Z,3lq8
893,2h96
894,2jh6
894,2uwp
895,2uwl
895,2jh5
896,2uuj
89E,1jvp
89I,2i6b
8A7,5ugm
8AP,2ohm
8BR,1ro9
8BR,7d7u
8CA,3fr2
8CG,5uiu
8DZ,6ob7
8HO,6kkb
8IN,1db4
8IP,2ohr
8JC,5xdk
8MO,1z11
8NG,5uvw
8NU,6a93
8NU,6cm4
8PR,5i6x
8PR,3v5w
8RC,5y9t
8SO,5ybg
8ST,3hng
8V0,5yf1
8VU,5y7k
8W7,5v3o
8W8,5nft
8X7,5vd0
8X7,5v5y
8X7,5vdk
903,1o46
910,2qbr
919,6cnh
919,5g6v
919,3qri
919,6mwe
92G,3fu3
936,1kbq
937,2yac
93J,5vcw
949,5gmn
949,5gmm
94M,3qdd
94M,4z1g
95E,5nr3
965,3ipq
965,4nqa
965,1pq6
968,1onz
96M,5vc5
96Q,5nsd
979,2of4
980,3tl5
984,1pmn
989,1nl9
997,1tft
998,1tfq
99B,4awo
9AJ,5vfi
9B0,5zya
9BD,3h9o
9CR,1fm6
9CR,1fby
9CR,5z12
9CR,3lbd
9CR,1xiu
9CR,4nqa
9CR,3oap
9CR,1tyr
9CR,2nnh
9CR,3dzu
9CR,6a5y
9DB,5nxc
9DG,7nq4
9HO,2vsr
9HP,1pmu
9IP,2ohs
9KL,7jwn
9PL,3t3q
9PL,3t3s
9PL,3t3z
9QW,5oc8
9RA,3h0a
9RA,4k6i
9SC,6a7p
9SC,7e2z
9SC,7voe
9TP,4l9q
9UO,6adg
9UO,6adi
9XT,5olh
9XW,5olo
9XY,5w9d
A,3j7y
A,7pd3
A,1cvj
A,3fit
A,7oic
A12,6gph
A12,6wjz
A12,4h2i
A12,3dgr
A17,3ds6
A19,2ga2
A1H,5op8
A1Z,5opc
A1Z,5ox6
A21,3bzu
A25,2e9u
A26,1d3h
A2P,1hi3
A2P,1h1h
A37,2fhy
A3M,1n1m
A3P,1zrh
A3P,1hi4
A3P,1z29
A3P,5wri
A3P,1t8t
A3P,1efh
A3P,2z5f
A3P,2h8k
A3P,1ls6
A3P,3ap1
A3P,3bfx
A3P,2gwh
A3P,1q1q
A3P,1nst
A3P,5wrj
A3P,1g3m
A3P,3bd9
A3W,5oq4
A41,1yw7
A42,2ywp
A49,3frj
A4Z,5bpp
A51,2qfo
A58,2e9o
A5A,4xem
A5A,4eqg
A5B,5ia0
A6L,6a94
A74,2fie
A75,1yw8
A82,4urk
A8X,6iiu
A96,3dtw
A9G,5wg6
A9L,7cbq
AA2,1oec
AA4,1mik
AAF,2g63
AAI,2rcw
AAZ,1y6a
ABJ,2v4l
ABN,5pa9
ABN,3hat
ABU,6a96
ABU,4ms3
ABU,6d6t
ABU,2okj
ABU,1qur
ABU,6dn6
ABU,2okk
ABU,5lrv
ABU,6huj
ABU,6jdw
ABU,7k2o
ABU,6hup
AC2,1pwy
AC2,3mjr
AC5,3s8n
AC5,4gm3
AC5,6fj3
ACA,7k2q
ACA,1ilp
ACA,5i73
ACA,6nk0
ACA,1cea
ACA,1pk2
ACA,5ock
ACA,5izf
ACD,4zga
ACD,6lx9
ACD,6mcz
ACD,3v99
ACD,1gnj
ACH,2j0h
ACI,3old
ACJ,3nks
ACM,6wjc
ACM,1grf
ACM,2ozu
ACM,2rh1
ACM,2ija
ACM,2ipu
ACM,2aii
ACP,2dwp
ACP,7bsp
ACP,6ru6
ACP,5c3z
ACP,4nh1
ACP,6k7i
ACP,6eq9
ACP,3gqi
ACP,5f2r
ACP,1i44
ACP,4an2
ACP,5ar3
ACP,2z7q
ACP,4mne
ACP,5ztf
ACP,7kja
ACP,5v60
ACP,4oav
ACP,3t10
ACP,4c3p
ACP,4rh3
ACP,1u54
ACP,4ayt
ACP,3zxt
ACP,2ohf
ACP,5li9
ACP,4k33
ACP,2x14
ACP,1k3a
ACP,6br1
ACP,2pvf
ACY,4m7h
ACY,3ppd
ACY,3qcd
ACY,3erd
ACY,1lj5
ACY,1jou
ACY,1s1q
ACY,6z1v
ACY,1fu1
ACY,4awj
ACY,5ex0
ACY,1z29
ACY,3ovl
ACY,1yrk
ACY,1spj
ACY,2g4s
ACY,3fer
ACY,2hnx
ACY,1sac
ACY,4auv
ACY,4jvs
ACY,2adf
ACY,4lmm
ACY,3lmn
ACY,5c0f
ACY,5ex3
ACY,3cos
ACY,4l3o
ACY,1kzo
ACY,1xtj
ACY,1uvq
ACY,6z13
ACY,1n2r
ACY,1h19
ACY,3e4a
ACY,3l4h
ACY,2ckj
ACY,7o07
ACY,4do4
ACY,3ltl
ACY,6ljm
ACY,6fj3
ACY,2fbt
ACY,1xg5
ACY,1jcq
ACY,6fmp
ACY,4zso
ACY,4knn
ACY,7e0p
ACY,6a43
ACY,1kt8
ACY,2h2b
ACY,1gwb
ACY,1cay
ACY,4ma4
ACY,4xeg
ACY,6ndz
ACY,1h7c
ACY,3wa4
ACY,2bzz
ACY,1een
ACY,1xcr
ACY,2b3l
ACY,1jcz
ACY,2qd5
ACY,2zu6
ACY,4fyq
ACY,2hd4
ACY,6dz2
ACY,7aue
ACY,2i6k
ACY,5nps
ACY,1mx3
ACY,1osf
ACY,1rx0
ACY,1dnu
ACY,3a77
ACY,5nbx
ACY,3hg2
ACY,3ff7
ACY,2djf
ACY,3f1q
ACY,5w6x
ACY,3phx
ACY,5fl4
ACY,3apv
ACY,1ozn
ACY,2dc3
ACY,1mk2
ACY,1u4l
AD5,5ljj
ADE,1z8d
ADE,3lqv
ADE,1yxm
ADE,2yed
ADE,3a7i
ADE,5dyx
ADE,2xoc
ADE,3kpv
ADE,7bje
ADE,1zn7
ADE,1cb0
ADE,5lvm
ADE,5tdf
ADE,2qlu
ADE,5aqi
ADE,6nja
ADN,5aqf
ADN,7mxc
ADN,5a1i
ADN,4ogr
ADN,4ima
ADN,2eva
ADN,5tdm
ADN,2jc9
ADN,5km9
ADN,4pfj
ADN,2ydo
ADN,6ttp
ADN,2kqd
ADN,5aqy
ADN,5lw1
ADN,4ktv
ADN,4cki
ADN,1bx4
ADN,5lvn
ADN,1yi4
ADN,4h2f
ADN,6j5z
ADN,5mvs
ADN,6rvz
ADN,6hxs
ADN,6d9h
ADN,4k87
ADX,7fha
ADX,1xnj
AED,3buh
AEE,2itp
AEF,3bra
AEH,3bug
AER,3ruk
AF9,5yve
AFB,1r8q
AG,2aw0
AG,5f0w
AG2,4yv8
AGE,3f07
AGG,2vdm
AGH,1zt4
AGI,3amy
AGI,5auv
AGI,4hkk
AGI,4der
AGP,2zj4
AGP,1ne7
AGS,2g2f
AGS,6vvo
AGS,4uya
AGS,3fzp
AGS,6nyb
AGS,6zwm
AGS,4crs
AGS,5i9v
AGS,5nzz
AGS,7akm
AGS,4lac
AGS,5l6w
AGS,1k6m
AGS,5c1b
AGS,4jsp
AGS,6xtx
AGS,5vfr
AGS,5zqm
AGS,4dn5
AGS,6wjd
AGS,3hu1
AGS,6xbz
AGS,5c03
AGS,6ziw
AGS,3t2s
AGS,1isg
AGS,7ni6
AGS,3vey
AGS,2w5b
AGS,7l9p
AGS,5vfp
AGS,5o0y
AGS,7bdi
AGS,7nfy
AGS,6f0x
AGS,6tsz
AGS,3eqc
AGS,1h7u
AHN,2afw
AHN,3pb8
AIB,1go9
AIB,4thn
AIB,2m5p
AIB,6rjp
AIB,6pv1
AIB,7bot
AIB,2gv2
AIB,4bqd
AIB,6ua3
AIB,7ki0
AIB,7rtb
AIB,3fe7
AIB,4wpb
AIB,4zgm
AIB,6fj3
AIB,2mpg
AIB,6gb1
AIJ,1xp9
AIT,1xpc
AJA,2om9
AJB,3fr0
AJI,3a0i
AKG,6fxk
AKG,1h2l
AKG,3zli
AKG,2a1x
AKG,5e6h
AKG,3thp
AKG,3inm
AKG,6lpx
AKG,4bxf
AKG,2xue
AKG,5l9b
AKG,2gp5
AKG,3k3o
AKG,3ldb
AKG,2yu1
AKG,3bu0
AKG,6f4s
AKG,4nro
AKG,4hon
AKG,6ie2
AKG,6yyu
AKG,5nfn
AKG,3al6
AKG,3dc1
AKG,3obz
AKG,3kv6
AKG,6yyw
AKG,5i95
AKG,2iuw
AKG,4zs2
AKG,1h2n
AKG,3uyj
AKG,4qkb
AKG,3ouj
AKG,5fup
AKG,4bu2
AKG,2y0i
AKR,5f19
AKR,5uup
AL1,1bnn
ALA,1hsb
ALA,3nxq
ALA,4crf
ALA,7l1a
ALA,1pin
ALA,2cyh
ALA,6f0a
ALA,6gg3
ALA,8jdw
ALA,3beg
ALA,4gr0
ALA,2dfd
ALA,1bkc
ALA,4dpg
ALA,4guk
ALA,5z57
ALA,6zm5
ALC,6ua3
ALC,4p65
ALC,1d5m
ALC,1xrz
ALC,5vbl
ALC,1hbt
ALC,1ywh
ALE,4ldo
ALE,2hkk
ALE,4a7u
ALH,1ung
ALQ,4gm3
ALR,1az1
AMH,1b2i
AMI,3fy1
AMI,1hkj
AMP,6c9f
AMP,1w0h
AMP,4ini
AMP,6l5m
AMP,1kpf
AMP,2vze
AMP,6p8q
AMP,5ikp
AMP,3dlz
AMP,7l29
AMP,3ifa
AMP,7m74
AMP,2j91
AMP,2dsd
AMP,5zq4
AMP,3nyo
AMP,6k4r
AMP,4lqy
AMP,6pmt
AMP,7b7z
AMP,1yxu
AMP,6mv7
AMP,3iuy
AMP,7k05
AMP,3w1b
AMP,6bkf
AMP,6wfj
AMP,1ore
AMP,6x7u
AMP,1efv
AMP,6vpm
AMP,4itr
AMP,1t9g
AMP,2wef
AMP,4cfe
AMP,5l95
AMP,1fta
AMP,4kke
AMP,6plm
AMP,3feg
AMP,1xqs
AMP,4imy
AMP,6v89
AMP,4kr2
AMP,1fa9
AMP,6b2e
AMP,4rer
AMP,2v8q
AMP,1x9n
AMP,3nkv
AMP,2uv4
AMP,3x01
AMP,2xoy
AMP,1ror
AMP,2i4i
AMP,3ngn
AMP,3ber
AMP,2hcr
AMP,1z8d
AMP,3l2p
AMP,3lud
AMP,1ptw
AMP,2ivt
AMP,7p9n
AMP,3c0h
AMP,5l3q
AMP,6ofb
AMP,2bwj
AMP,5byf
AMP,6d31
AMP,1ds5
AMZ,2uv5
AMZ,1p4r
AMZ,5pzw
AND,1j99
AND,1q22
AND,3dhe
ANW,2kot
ANW,5w5v
AO2,1r5h
AO5,1r58
AOA,1h0c
AOM,3uzx
AOM,1lho
AOM,3km0
AOQ,6slr
AP2,5fit
AP2,3fd5
AP2,1av5
AP5,2bzz
AP5,6zje
AP5,6j5s
AP5,1z83
APC,6gp8
APC,4u0z
APC,6c02
APC,4clk
APC,2zt6
APC,1nus
APC,4dpg
APC,3day
APC,1s26
APD,6xie
APD,1gmy
APO,1l8l
AQ4,6dwn
AQ4,1m17
AR3,1p5z
AS0,2ovh
AS4,2aa2
AS4,6hgj
ASC,5zlg
ASC,3vln
ASD,2vcv
ASD,2vct
ASD,3cas
ASD,3eqm
ASD,4xo7
ASD,1xf0
ASD,1qyx
ASE,6tr6
ASE,4a6e
ASN,6v74
ASN,6ehj
ASN,3imj
ASN,6vld
ASP,2nz2
ASP,6v75
ASP,2pcu
ASP,3nxq
ASP,4pvr
ASP,1ypk
ASP,5llm
ASP,1a86
ASP,1apz
ASP,5hdb
ASP,6x2z
ASP,4kxa
ASP,6zxh
ASP,3sje
ASP,6zxg
ASW,4g0u
AT2,3e7g
ATM,1e98
ATM,2jau
ATP,2a3z
ATP,6l57
ATP,6ieh
ATP,1fin
ATP,4u1r
ATP,3dkc
ATP,6bcu
ATP,1s9i
ATP,1xsc
ATP,5csh
ATP,3lrr
ATP,4pl7
ATP,7jhg
ATP,6uhc
ATP,3nh9
ATP,5u03
ATP,3blq
ATP,6hbu
ATP,5udk
ATP,6s7p
ATP,6zjd
ATP,4wb7
ATP,5ofb
ATP,6zxg
ATP,7pw7
ATP,3tu5
ATP,7oz1
ATP,3q53
ATP,7krz
ATP,4pkg
ATP,7ru9
ATP,7cte
ATP,1b38
ATP,6c0v
ATP,3ldl
ATP,3bju
ATP,3ly6
ATP,6zxf
ATP,1s9j
ATP,1gz3
ATP,2qui
ATP,2x15
ATP,3c5e
ATP,3gni
ATP,4pla
ATP,5z6r
ATP,4rrv
ATP,4xbr
ATP,4din
ATP,7mqa
ATP,7lht
ATP,4wtv
ATP,4wae
ATP,1xmi
ATP,5uj7
ATP,6syt
ATP,7dc8
ATP,2y4i
ATP,4dx2
ATP,3bu5
ATP,7e7q
ATP,1y8p
ATP,7bt2
ATP,6uhh
ATP,3a8w
ATP,1y8r
ATP,7mq9
ATP,6aec
ATP,6z3r
ATP,2xsz
ATP,3w5o
ATP,4hot
ATP,2cbz
ATP,2yxu
ATP,2vcp
ATP,2b6f
ATP,6dec
ATP,6bcx
ATP,4fg7
ATP,4usw
ATP,3in5
ATP,3hne
ATP,4rh7
ATP,4f93
ATP,1ua2
ATP,6kid
ATP,3d2e
ATP,5ekd
ATP,6nbw
ATP,6c3o
ATP,5ujm
ATP,6nas
ATP,6pk4
ATP,5zxd
ATP,2ff3
ATP,1h1w
ATP,7cq5
ATP,2d1k
ATP,1fq1
ATP,6gfa
ATP,2kmx
ATP,7m74
ATP,5yzg
ATP,2idx
ATP,3j8y
ATP,2j9l
ATP,7mir
ATP,2c01
ATP,6jii
ATP,6yw7
ATP,5nug
ATP,3g6v
ATP,6zxh
ATP,6fml
ATP,4fxf
ATP,3e1y
ATP,3w1g
ATP,6sc2
ATP,6rw4
ATP,1c0f
ATP,2cch
ATP,5ewg
ATP,3j2t
ATP,5yh3
ATP,7p1h
ATP,2xcw
ATP,6icz
ATP,7n74
ATP,3kmw
ATP,2bu2
ATP,5xjc
ATP,5svk
ATP,6oif
ATP,7shm
ATP,1kxp
ATP,6zvj
ATP,3h8v
ATP,4btj
ATP,5wu4
ATP,1e2q
ATP,2a40
ATP,6yw6
ATP,6rw5
ATP,7mq8
ATP,6f1t
ATP,4pl8
ATP,6h77
ATP,2qk4
ATP,3t0z
ATP,4fo0
ATP,7a09
ATP,5nwl
ATP,6cta
ATP,2a41
ATP,3a7h
ATP,6qdv
ATP,5fwk
ATP,2ijm
ATP,7nzm
ATP,5t0c
ATP,7aip
ATP,6zm5
ATP,5l4g
ATP,2zt7
ATP,3qx9
ATP,4wb5
ATP,3t54
ATP,1y8q
ATP,2nvu
ATP,7nxv
ATP,6r4s
ATP,1r4n
ATP,3hy2
ATP,6xbx
ATP,4z94
ATP,6zsp
ATP,6mw7
ATP,5t9v
ATP,4fvq
ATP,6xf0
ATP,5htk
ATP,8icn
ATP,5wrs
ATP,3fzf
ATP,5j1s
ATP,6ieg
ATP,7lmy
ATP,2pav
ATP,6jbj
ATP,6msb
ATP,6u8n
ATP,4u07
ATP,2v92
ATP,5vqa
ATP,3hmn
ATT,3usn
ATU,1q3w
AUD,5wg7
AV9,4ase
AVF,3cej
AVL,4grq
AWY,6me5
AWY,5q1s
AXI,4twp
AXI,4ag8
AY7,5mo4
AYR,6lzl
AZ1,7oow
AZ1,5izf
AZ2,1i7i
AZ2,1i7g
AZ5,2xa4
AZG,1v41
AZM,4lu3
AZM,3czv
AZM,1jd0
AZM,1azm
AZM,5jn8
AZM,1yda
AZM,3ml5
AZM,3iai
AZX,2q8g
AZZ,3b9l
B11,1zz2
B1Q,3kwf
B1T,7erh
B1T,5d0r
B1V,1tou
B21,2xp3
B2Y,3ccb
B39,3gzn
B3N,4rsy
B3N,1t67
B3P,2bzg
B3P,3kkt
B3P,6q4r
B3P,6yr7
B3P,6biy
B3P,6biz
B3P,6v7k
B3P,6tjk
B3P,6rfk
B3P,6nix
B3P,6qzr
B3P,6atz
B3P,1tb7
B3P,5wzo
B3P,3d97
B3P,3zkg
B3P,2yd9
B3P,2ooq
B3P,5okm
B3P,1rv6
B3P,6fw2
B3P,5i8b
B3P,4d4z
B3P,6ulv
B3P,4pjc
B3P,6twz
B3P,6b6u
B49,4ks8
B49,4qmz
B49,3ti1
B49,4agd
B49,3g0e
B49,2y7j
B49,6v0x
B49,3miy
B49,6jok
B49,6nfy
B5R,3b5r
B65,3lee
B67,3b67
B68,3b68
B72,3nee
B72,3imy
B72,3hzf
B81,3klp
B86,3ipx
B96,3npc
B96,4twn
