,pdbStructureId,pdbCompoundIdAgg,new_col
104,5i71,['68P'],['5i71 loaded']
105,5k4j,['6QB'],['5k4j loaded']
106,5lby,['6T2'],['5lby loaded']
107,5nxc,['9DB'],['5nxc loaded']
108,5p9i,['1E8'],['5p9i loaded']
109,5phe,['231'],['5phe loaded']
110,5rhn,['8BR'],['5rhn loaded']
111,5t18,['73T'],['5t18 loaded']
112,5tdm,['ADN'],['5tdm loaded']
113,5te8,['08J'],['5te8 loaded']
114,5u5l,['7VA'],['5u5l loaded']
115,5vd2,['34W'],['5vd2 loaded']
116,5vjn,['ADE'],['5vjn loaded']
117,5w9d,['9XY'],['5w9d loaded']
118,6a5y,['9CR'],['6a5y loaded']
119,6bbe,['1PG'],['6bbe loaded']
120,6g33,['5ID'],['6g33 loaded']
121,6hxb,['ACP'],['6hxb loaded']
122,6hxs,['ADN'],['6hxs loaded']
123,6joi,['6T2'],['6joi loaded']
124,6rvz,['ADN'],['6rvz loaded']
125,6tu9,['0LI'],['6tu9 loaded']
126,6y2l,['3HE'],['6y2l not loaded']
127,6ybw,['5MC'],['6ybw loaded']
128,6z2q,['ACY'],['6z2q loaded']
129,7e2z,['9SC'],['7e2z loaded']
130,7lqz,['6EU'],['7lqz loaded']
131,7o80,['5MC'],['7o80 not loaded']
